colour_name,hex_value,api_featured_image,brand,category,created_at,currency,description,id,image_link,name,price,price_sign,product_api_url,product_link,product_type,rating,tag_list,updated_at,website_link,distances
Peach ,#FFAE83,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/472/original/data?1514063327,cargo cosmetics,powder,2016-10-01 18:35:33.157,,"Cargo Cosmetics HD Picture Perfect Blush Highlighter was created for high-definition filming to provide picture-perfect 
results while looking completely natural.The Cargo HD 
Blush/Highlighter is a universally flattering shade of blush with a 
velvety formula that adjusts with ambient lighting, providing a natural 
finish day or night..  
Features:
Photochromatic pigments adjust with the lighting so that you have a natural looking make-up no matter what the settingUltra-fine micronized minerals fill the look of fine lines and reduce the appearance of imperfectionsShade Range: Application: For a natural application of color apply to the apples of the cheeks and long the cheekbones using a large fluffy blush brushTo highlight and enhance the cheekbones use a small blush brush or sculpting brush along the upper edges of the cheekbonesIngredients: Talc, Nylon-12, Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Caprylyl Glycol, Silver Oxide May Contain (+/-): Mica (CI 77019), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Iron Oxides (CI 77491), Ultramarines (CI 77007).
",472,"https://d3t32hsnjxo7q6.cloudfront.net/i/c976f8b3aabe8368fdc673e556159a13_ra,w158,h184_pa,w158,h184.jpeg",Cargo Cosmetics HD Picture Perfect Blush Highlighter,32.0,,http://makeup-api.herokuapp.com/api/v1/products/472.json,https://well.ca/products/cargo-cosmetics-hd-picture-perfect_87679.html,blush,,[],2017-12-23 21:08:47.343,https://well.ca,42.37924020083418
Beam,#F1BB9E,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/003/original/open-uri20171227-4-13ivnwv?1514343870,glossier,cream,2017-12-27 03:04:32.907,USD,"With Cloud Paint, we set out to make blush the high point of your routine. The pillowy, gel-cream formula is designed to be the most user-friendly cheek color in existence. If you can finger paint, you can Cloud Paint—simply dab it onto cheeks wherever you please. It’s seamless, sheer, and buildable (i.e. it’s hard to accidentally apply too much). Inspired by gradient pink NYC sunsets, the shades are optimized to work across a wide range of skin tones for a healthy, flushed-from-within glow.",1003,https://static-assets.glossier.com/production/spree/images/attachments/000/001/241/portrait_normal/CP_PDP_02.jpg?1488382023,Cloud Paint,22.0,$,http://makeup-api.herokuapp.com/api/v1/products/1003.json,https://www.glossier.com/products/cloud-paint,blush,,[],2017-12-27 03:05:09.354,https://www.glossier.com,51.048996072400875
Tender Rose ,#E9B899,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/447/original/data?1514063326,l'oreal,powder,2016-10-01 18:34:59.254,,"True Match Blush flawlessly complements your skin's texture and tone and coordinates perfectly with True Match Makeup, Powder, and Concealer.Opti-Match technology creates uniquely true-to-life shades that flawlessly complement your skintone and undertone to perfection, leaving you with the most natural flush of colour imaginable.A unique Opti-BlendTM formula provides a skin-true texture that blends smoothly, never looks chalky or cakey.  Stays fresh and natural looking hour after hour.Oil-free, vitamin-rich, and non-comedogenic.",447,"https://d3t32hsnjxo7q6.cloudfront.net/i/e4e4827631b874f898d41a90ab3de5a6_ra,w158,h184_pa,w158,h184.jpeg",L'Oreal Paris True Match,16.49,,http://makeup-api.herokuapp.com/api/v1/products/447.json,https://well.ca/products/loreal-paris-true-match_4395.html,blush,4.8,[],2017-12-23 21:08:46.196,https://well.ca,51.76871642217914
Soft Spoken ,#F6A083,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/463/original/data?1514063326,nyx,powder,2016-10-01 18:35:22.411,,This NYX High Definition Blush is a high definition lightweight blush that blends evenly.  This vibrant and silky blush delivers a beautiful flush of colour and is paraben free. ,463,"https://d3t32hsnjxo7q6.cloudfront.net/i/e4842a84c9c0522ba29f1a856d841b1c_ra,w158,h184_pa,w158,h184.jpg",NYX High Definition Blush,7.99,,http://makeup-api.herokuapp.com/api/v1/products/463.json,https://well.ca/products/nyx-high-definition-blush_118146.html,blush,4.0,[],2017-12-23 21:08:46.552,https://well.ca,56.50663677834667
Pink ,#E8A78B,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/472/original/data?1514063327,cargo cosmetics,powder,2016-10-01 18:35:33.157,,"Cargo Cosmetics HD Picture Perfect Blush Highlighter was created for high-definition filming to provide picture-perfect 
results while looking completely natural.The Cargo HD 
Blush/Highlighter is a universally flattering shade of blush with a 
velvety formula that adjusts with ambient lighting, providing a natural 
finish day or night..  
Features:
Photochromatic pigments adjust with the lighting so that you have a natural looking make-up no matter what the settingUltra-fine micronized minerals fill the look of fine lines and reduce the appearance of imperfectionsShade Range: Application: For a natural application of color apply to the apples of the cheeks and long the cheekbones using a large fluffy blush brushTo highlight and enhance the cheekbones use a small blush brush or sculpting brush along the upper edges of the cheekbonesIngredients: Talc, Nylon-12, Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Caprylyl Glycol, Silver Oxide May Contain (+/-): Mica (CI 77019), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Iron Oxides (CI 77491), Ultramarines (CI 77007).
",472,"https://d3t32hsnjxo7q6.cloudfront.net/i/c976f8b3aabe8368fdc673e556159a13_ra,w158,h184_pa,w158,h184.jpeg",Cargo Cosmetics HD Picture Perfect Blush Highlighter,32.0,,http://makeup-api.herokuapp.com/api/v1/products/472.json,https://well.ca/products/cargo-cosmetics-hd-picture-perfect_87679.html,blush,,[],2017-12-23 21:08:47.343,https://well.ca,56.7626637852735
Soft Spoken,#F4A38D,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,57.42821606144492
Soft Spoken,#F4A38D,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,57.42821606144492
Nude ,#E6AC96,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/448/original/data?1514063323,almay,powder,2016-10-01 18:35:01.157,,"Brighten up your complexion with smart shade™ powder blush. This lightweight, 
smooth formula glides on easily and evenly for a look of natural 
radiance. Three shades of bricked color swirl together to create the 
perfect blush shade for your skin.Application Tips: Swirl the brush across the top of the palette.  Sweep across the apples 
of your cheeks.  For an all-over glow, apply subtle strokes across the 
contours of your face.
            ",448,"https://d3t32hsnjxo7q6.cloudfront.net/i/f939707421649b0ceab58c0534ec44de_ra,w158,h184_pa,w158,h184.jpeg",Almay Smart Shade Powder Blush,14.49,,http://makeup-api.herokuapp.com/api/v1/products/448.json,https://well.ca/products/almay-smart-shade-powder-blush_84485.html,blush,4.0,[],2017-12-23 21:08:43.875,https://well.ca,58.974570791146924
Ignite,#E5C0A6,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/918/original/open-uri20171224-4-1g2payx?1514082631,nyx,,2017-12-24 02:28:34.896,USD,Baked to sheer perfection this luxurious formula is packed full of pigments to provide a natural glow and highlight to the face. Uniquely designed to be used wet or dry depending upon the makeup statement you want to make. When used dry with a brush the look is light and fresh. Want more color? No Problem! Apply wet with a makeup sponge for more intensity.,918,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwfdfb0cd6/ProductImages/Face/Baked_Blush/800897824181_bakedblush_fullonfemme_main.jpg?sw=390&sh=390&sm=fit,Baked Blush,7.0,$,http://makeup-api.herokuapp.com/api/v1/products/918.json,https://www.nyxcosmetics.com/baked-blush/NYX_128.html?cgid=blush,blush,,[],2017-12-24 02:30:31.495,https://www.nyxcosmetics.com,59.67411499134277
Medium Coral  ,#FC9D8F,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/439/original/open-uri20171223-4-1max36x?1514063325,maybelline,powder,2016-10-01 18:34:46.302,,"Maybelline Fit Me Blush has lightweight pigments blend easily and wear evenly. It provides a natural, fade-proof cheek color that leaves skin the way it was meant to be...fresh, breathing, and natural.

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",439,"https://d3t32hsnjxo7q6.cloudfront.net/i/53d5f825461117c0d96946e1029510b0_ra,w158,h184_pa,w158,h184.png",Maybelline Fit Me Blush,10.29,,http://makeup-api.herokuapp.com/api/v1/products/439.json,https://well.ca/products/maybelline-fit-me-blush_31269.html,blush,4.8,[],2017-12-23 21:08:45.097,https://well.ca,62.72160712226688
Down To Earth,#F49877,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,63.0
Down To Earth,#F49877,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,63.0
Rose,#E89B7C,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/017/original/open-uri20180630-4-1r5paz3?1530390370,lotus cosmetics usa,cream,2018-06-30 19:19:30.678,USD,"A cream to powder blush made with all natural ingredients that applies like a soft cream but finishes like a silky powder. Antioxidant-rich botanicals help moisturize the skin, while natural pigments provide long-lasting buildable color for a healthy, radiant glow. Made with natural and organic ingredients.",1017,https://www.purpicks.com/wp-content/uploads/2018/03/lotus-cosmetics-usa-creme-to-powder-blush.png,Creme to Powder Blush,0.0,$,http://makeup-api.herokuapp.com/api/v1/products/1017.json,https://www.purpicks.com/product/lotus-cosmetics-usa-creme-powder-blush/,blush,,"[Organic, USDA Organic, purpicks]",2018-09-02 22:52:06.437,https://purpicks.com/,63.7102817447859
05-Luminoso (Luminous Peach Shimmer ) ,#EEA99F,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/435/original/open-uri20171223-4-1dbovcq?1514063324,milani,powder,2016-10-01 18:34:41.358,,"This silky blush with benefits can be used so many ways. It shapes, it contours, it highlights. Sunbaked on Italian terracotta tiles, it’s buildable from sheer to vibrant. Yes, it adds a cheeky pop of colour to your complexion. Radiance and warmth, too.Features:Multi-purpose: shapes, contours and highlights cheeksEasy to use for a perfect radiant finishMirror & brush applicator includedStreak-freeBuildable from sheer to vibrantApplication: Glide brush through color and lightly tap off excess powder. Lightly apply to cheeks, forehead, chin and/or nose and blend well for a soft glow.Ingredients: Talc, Mica, Glyceryl Ethylhexanoate/Stearate/Adipate, Dimethicone, Octyldodecyl Stearoyl Stearate, Isopropyl Myristate, Polyacrylamide, C13-14 Isoparaffin, Laureth-7, Sorbitan Stearate, Zea Mays (Corn) Starch, Lauroyl Lysine, Magnesium Aluminum Silicate, Cetearyl Ethylhexanoate, Sodium Dehydroacetate, Nylon-12, Imidazolidinyl Urea, Methylparaben, Silica, Ethylparaben, Propylparaben, Butylparaben, Titanium Dioxide (CI 77891), Iron Oxide (CI 77491). +/- May Contain: Iron Oxide (CI 77492, CI 77499), Yellow 5 (CI 19140), Red 7 (CI 15850), Yellow 6 (CI 15985), Carmine (CI 75470), Ultramarines (CI 77007). Shade Range: ",435,"https://d3t32hsnjxo7q6.cloudfront.net/i/4ae353dcae46e9b97c4915566fc9190a_ra,w158,h184_pa,w158,h184.png",Milani Baked Blush,7.99,,http://makeup-api.herokuapp.com/api/v1/products/435.json,https://well.ca/products/milani-baked-blush_32703.html,blush,4.7,[],2017-12-23 21:08:44.433,https://well.ca,63.85922016435841
Sweet Pea ,#f39f94,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/437/original/data?1514063324,pure anada,powder,2016-10-01 18:34:42.997,,"Pure Anada is pleased to bring you a lovely selection of convenient pressed mineral colors!    You’ll love the silky texture and longevity of these highly wearable cheek colors.Mineral pigments and organic Jojoba are pressed together to create a natural makeup product. You can have confidence that you are making a beautiful, healthy choice!Pure Anada pressed colors are designed to be inserted into customizable magnetic compacts like the Pure Ananda Reusable Magnetic Compact. Design your own palette!  Shades:Ingredients: Mica (CI 77019), Iron Oxides (CI 77492, CI 77499) Calcium Carbonate, Caprylic Triglyceride *Simmondsia Chinensis (Jojoba seed oil) Ultramarines (CI 77007), Titanium Dioxide (CI 77891) * Certified Organic IngredientVegan, Gluten Free, Non-GMO, Dairy Free, Peanut Free, Natural",437,"https://d3t32hsnjxo7q6.cloudfront.net/i/43071cd57ecffc55c1e0bff29278c3a7_ra,w158,h184_pa,w158,h184.jpeg",Pure Anada Pressed Mineral Cheek Colour Pan,12.0,,http://makeup-api.herokuapp.com/api/v1/products/437.json,https://well.ca/products/pure-anada-pressed-mineral-cheek_83224.html,blush,4.4,"[Canadian, Non-GMO, Gluten Free, Vegan, Natural]",2017-12-23 21:08:44.981,https://well.ca,64.26507605223851
Coral-Sicle,#FF9474,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/881/original/open-uri20171224-4-xaiokt?1514082636,nyx,,2017-12-24 02:27:11.306,USD,"Indulge your cravings with our Whipped Lip & Cheek Soufflé. Our two-in-one mousse can be used to precisely line lips and on the apples of your cheeks for a soft, natural flush. Achieve a delicious wash of color with a matte finish using this creamy and multipurpose formula.",881,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwcffa1f2c/ProductImages/Lips/Whipped_Lip_And_Cheek_Souffle/whippedlipandcheeksouffle_main.jpg?sw=390&sh=390&sm=fit,Whipped Lip & Cheek Soufflé,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/881.json,https://www.nyxcosmetics.com/whipped-lip-and-cheek-souffle/NYX_233.html?cgid=blush,blush,,[],2017-12-24 02:30:36.924,https://www.nyxcosmetics.com,66.007575322837
746 Beige Nude,#E6A397,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/684/original/open-uri20171223-4-14490w0?1514062728,dior,,2017-12-03 23:22:32.065,GBP,The iconic blush from the House of Dior: the new colour accessory for face makeup with style.,684,https://www.dior.com/beauty/version-5.1432748111912/resize-image/ep/0/390/100/0/packshots%252FPDG_Y0715255.jpg,Diorblush,32.5,£,http://makeup-api.herokuapp.com/api/v1/products/684.json,https://www.dior.com/beauty/en_gb/fragrance-beauty/makeup/face/blush/pr-blush-y0715255_f071525556-vibrant-colour-powder-blush.html,blush,,[],2017-12-23 20:58:48.374,https://www.dior.com,66.19667665374146
Mango Ice (Warm) ,#f69476,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/445/original/data?1514063325,pure anada,powder,2016-10-01 18:34:55.831,,"Impart a healthy glow, with a Pure Anada luminous mineral blush!Learn how to make your own custom lip balm using your favourite shade with our easy DIY Lip Balm recipe on our blog, The Well!Shade Range: Ingredients: Mica,  Iron Oxides, Ultramarines, May contain: Titanium Dioxide",445,"https://d3t32hsnjxo7q6.cloudfront.net/i/187a238fb2afe03f3f7d0133305d845a_ra,w158,h184_pa,w158,h184.jpg",Pure Anada Loose Mineral Luminous Blush,12.0,,http://makeup-api.herokuapp.com/api/v1/products/445.json,https://well.ca/products/pure-anada-loose-mineral-luminous_93630.html,blush,4.0,"[Canadian, Natural]",2017-12-23 21:08:45.969,https://well.ca,66.61831579978588
Melon Pop,#f29686,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/776/original/open-uri20171223-4-122ljen?1514072604,clinique,,2017-12-23 17:09:11.983,USD,"Vibrant yet natural-looking cheek colour that looks virtually powderless. In a silky smooth, stay-true formula with shades for every skin tone. That just-pinched look, simply effortless.",776,https://www.clinique.com/media/export/cms/products/181x209/clq_7THL_181x209.png,Cheek Pop&trade;,23.0,$,http://makeup-api.herokuapp.com/api/v1/products/776.json,https://www.clinique.com/product/1593/29770/makeup/blushers/cheek-pop,blush,,[],2017-12-23 23:43:25.003,https://www.clinique.com,67.48333127521195
Coral  ,#FB9485,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/448/original/data?1514063323,almay,powder,2016-10-01 18:35:01.157,,"Brighten up your complexion with smart shade™ powder blush. This lightweight, 
smooth formula glides on easily and evenly for a look of natural 
radiance. Three shades of bricked color swirl together to create the 
perfect blush shade for your skin.Application Tips: Swirl the brush across the top of the palette.  Sweep across the apples 
of your cheeks.  For an all-over glow, apply subtle strokes across the 
contours of your face.
            ",448,"https://d3t32hsnjxo7q6.cloudfront.net/i/f939707421649b0ceab58c0534ec44de_ra,w158,h184_pa,w158,h184.jpeg",Almay Smart Shade Powder Blush,14.49,,http://makeup-api.herokuapp.com/api/v1/products/448.json,https://well.ca/products/almay-smart-shade-powder-blush_84485.html,blush,4.0,[],2017-12-23 21:08:43.875,https://well.ca,68.0294054067798
Pink The Town,#F99282,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,69.49100661236676
Pink The Town,#F99282,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,69.49100661236676
Desert Rose,#DF9A84,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/026/original/open-uri20180630-4-18e9ua7?1530390377,marienatie,powder,2018-06-30 19:19:31.234,USD,Formulated to reduce the appearance of pores while creating a long-lasting natural finish.  This MarieNatie brush protects skin with SPF15.  Sericite mica is great for absorbing oil and won’t clog up pores.  Mica is a natural mineral that helps to enhance the skin tone.,1026,https://www.purpicks.com/wp-content/uploads/csm/Blush_copy_1024x1024_edd99d6d-301e-4ba1-aa74-a33d21147b7c1.jpg,Mineral Blush,0.0,$,http://makeup-api.herokuapp.com/api/v1/products/1026.json,https://www.purpicks.com/product/marie-natie-mineral-blush/,blush,,"[CertClean, purpicks]",2018-09-02 22:52:06.590,https://purpicks.com/,69.63476143421474
002 Coral Shape,#D6A086,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/685/original/open-uri20171223-4-1p1tlsw?1514062728,dior,,2017-12-03 23:22:35.267,GBP,"The first contouring blush by Dior, Diorblush Sculpt allows you to easily redefine the face’s structure and volumes with the precision of a makeup artist thanks to its two contrasting shades.",685,https://www.dior.com/beauty/version-5.1432748111912/resize-image/ep/0/390/100/0/packshots%252FPDG_Y0716250.jpg,Diorblush Sculpt,32.5,£,http://makeup-api.herokuapp.com/api/v1/products/685.json,https://www.dior.com/beauty/en_gb/fragrance-beauty/makeup/face/blush/pr-blush-y0716250_f071625001-professional-contouring-powder-blush.html,blush,,[],2017-12-23 20:58:48.814,https://www.dior.com,69.89992846920518
Coraline,#F49178,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,69.93568473962345
Coraline,#F49178,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,69.93568473962345
Solstice,#E8C7B6,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/918/original/open-uri20171224-4-1g2payx?1514082631,nyx,,2017-12-24 02:28:34.896,USD,Baked to sheer perfection this luxurious formula is packed full of pigments to provide a natural glow and highlight to the face. Uniquely designed to be used wet or dry depending upon the makeup statement you want to make. When used dry with a brush the look is light and fresh. Want more color? No Problem! Apply wet with a makeup sponge for more intensity.,918,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwfdfb0cd6/ProductImages/Face/Baked_Blush/800897824181_bakedblush_fullonfemme_main.jpg?sw=390&sh=390&sm=fit,Baked Blush,7.0,$,http://makeup-api.herokuapp.com/api/v1/products/918.json,https://www.nyxcosmetics.com/baked-blush/NYX_128.html?cgid=blush,blush,,[],2017-12-24 02:30:31.495,https://www.nyxcosmetics.com,70.5620294492725
Foreplay,#F4C6B9,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/918/original/open-uri20171224-4-1g2payx?1514082631,nyx,,2017-12-24 02:28:34.896,USD,Baked to sheer perfection this luxurious formula is packed full of pigments to provide a natural glow and highlight to the face. Uniquely designed to be used wet or dry depending upon the makeup statement you want to make. When used dry with a brush the look is light and fresh. Want more color? No Problem! Apply wet with a makeup sponge for more intensity.,918,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwfdfb0cd6/ProductImages/Face/Baked_Blush/800897824181_bakedblush_fullonfemme_main.jpg?sw=390&sh=390&sm=fit,Baked Blush,7.0,$,http://makeup-api.herokuapp.com/api/v1/products/918.json,https://www.nyxcosmetics.com/baked-blush/NYX_128.html?cgid=blush,blush,,[],2017-12-24 02:30:31.495,https://www.nyxcosmetics.com,70.71774883294857
003 Beige Contour,#D3A895,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/685/original/open-uri20171223-4-1p1tlsw?1514062728,dior,,2017-12-03 23:22:35.267,GBP,"The first contouring blush by Dior, Diorblush Sculpt allows you to easily redefine the face’s structure and volumes with the precision of a makeup artist thanks to its two contrasting shades.",685,https://www.dior.com/beauty/version-5.1432748111912/resize-image/ep/0/390/100/0/packshots%252FPDG_Y0716250.jpg,Diorblush Sculpt,32.5,£,http://makeup-api.herokuapp.com/api/v1/products/685.json,https://www.dior.com/beauty/en_gb/fragrance-beauty/makeup/face/blush/pr-blush-y0716250_f071625001-professional-contouring-powder-blush.html,blush,,[],2017-12-23 20:58:48.814,https://www.dior.com,71.2460525222275
Hamptons,#F5948E,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,71.28113354878694
Hamptons,#F5948E,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,71.28113354878694
